Title,ClassLabel,PrimaryFrequency,TaskCount,AssetsCovered
เครื่องตัดปลา,เครื่องตัดปลา,Weekly,8,"W01CT01,W01CT02,W01CT03,W01CT04,W01CT05,W01CT06"
เครื่องตัดปลาชาดีน,เครื่องตัดปลาชาดีน,Weekly,10,W01CT08
ห้องเย็น,ห้องเย็น,Weekly,8,"W01AI08,W01AI09"
สายพานขูดปลา,สายพานขูดปลา,Weekly,9,W01BC02
สายพานผ่าท้องปลา,สายพานผ่าท้องปลา,Weekly,8,W01BC01
Dumper,Dumper,Weekly,9,W01DP01
รางสเปร์ยคูลลิ่งปลา,รางสเปร์ยคูลลิ่งปลา,Monthly,8,W01CL01
ตู้นึ่งปลา,ตู้นึ่งปลา,Weekly,8,W01ST01
ตรวจจับโลหะแบบท่อ,ตรวจจับโลหะแบบท่อ,Weekly,8,"W01MN01,W01MN02"
ตู้แช่ทำความเย็น,ตู้แช่ทำความเย็น,,8,
เครื่องชั่งเช็คเวท,เครื่องชั่งเช็คเวท,Weekly,8,W01PK13
ปั๊มวัตถุดิบ,ปั๊มวัตถุดิบ,Weekly,8,"W01FP01,W01FP02,W01FP03,W01FP04"
เครื่องชั่งปลามัลติเฮด,เครื่องชั่งปลามัลติเฮด,Weekly,8,W01PK12
เครื่องบรรจุซองเพ้าช์TYJ,เครื่องบรรจุซองเพ้าช์TYJ,Weekly,10,W01PK05
เครื่องบรรจุเพ้าช์ Dupex,เครื่องบรรจุเพ้าช์ Dupex,Weekly,10,W01PK06
เครื่องปิดฝา,เครื่องปิดฝา,Weekly,10,W01PK08
เช็คหัวชีม,เช็คหัวชีม,Weekly,11,W01PK10
Lifter Unit,Lifter Unit,Weekly,8,W01PK09
สายพานสามกลับ,สายพานสามกลับ,Weekly,9,W01BC04
สายพานชั่ง,สายพานชั่ง,Weekly,8,W01BC03
Filler,Filler,Weekly,10,W01PK02
Filling,Filling,Weekly,10,W01PK01
บรรจุซองแมวเลีย,บรรจุซองแมวเลีย,Weekly,9,W01PK07
บรรจุแมวเลียTTK,บรรจุแมวเลียTTK,Weekly,8,"W01PK17,W01PK18,W01PK19,W01PK23"
เครื่องพิมพ์ซองแมวเลีย,เครื่องพิมพ์ซองแมวเลีย,Weekly,8,W01IJ04
เครื่องพิมพ์กล่อง,เครื่องพิมพ์กล่อง,Weekly,8,W01IJ05
TP R2,TP R2,Weekly,8,W01PK20
ปั๊มลมสกรู Air Compressure,ปั๊มลมสกรู Air Compressure,Weekly,8,"W01AC01,W01AC03"
เครื่องทำลมแห้ง,เครื่องทำลมแห้ง,Monthly,9,"W01AC02,W01AC04"
ปั๊มน้ำCooling,ปั๊มน้ำCooling,Monthly,8,"W01WP01,W01WP02,W01WP03,W01WP04,W01WP05,W01WP06,W01WP07,W01WP08,W01WP09"
COOLING WATER,COOLING WATER,Monthly,8,"W01CW01,W01CW02"
ถังพักน้ำ,ถังพักน้ำ,Monthly,8,"W01WT01,W01WT02,W01WT03,W01WT04,W01WT05,W01WT06"
Chiller,Chiller,Monthly,8,"W01AI01,W01AI02"
ท่อระบายน้ำและรางน้ำฝน,ท่อระบายน้ำและรางน้ำฝน,Monthly,8,W01SS01
ระบบน้ำ RO1,ระบบน้ำ RO1,Weekly,8,W01RO04
อาคาร,อาคาร,Monthly,8,W01SC01
เครื่องปรับอากาศ,เครื่องปรับอากาศ,Monthly,8,"W01AI04,W01AI05,W01AI06,W01AI07,W02AI03,W02AI21"
คอยเย็นแอร์,คอยเย็นแอร์,Weekly,7,"W02AI10,W02AI11,W02AI12,W02AI13,W02AI14,W02AI15,W02AI16,W02AI17,W02AI18,W02AI19,W02AI20"
เครื่องปั่นผสมแป้ง,เครื่องปั่นผสมแป้ง,Weekly,8,"W01MI07,W01MI08"
เครื่องนวดผสมแป้ง,เครื่องนวดผสมแป้ง,Weekly,8,"W01MS03,W01MS04,W01MS05"
เครื่องนวดส่วนผสม,เครื่องนวดส่วนผสม,Weekly,9,"W01MS01,W01MS02"
เครื่องตรวจจับโลหะแบบสายพาน,เครื่องตรวจจับโลหะแบบสายพาน,Weekly,8,"W01MN03,W01MN04"
Extruder,Extruder,Weekly,10,W01EX01
สายพานตัดสแน็ค,สายพานตัดสแน็ค,Weekly,8,W01BC07
เครื่องตัดสแน็ค,เครื่องตัดสแน็ค,Weekly,9,W01CT07
ตู้อบลมร้อน,ตู้อบลมร้อน,Weekly,8,"W01DR03,W01DR04"
ตู้อบสแน็ค,ตู้อบสแน็ค,Weekly,10,W01DR02
เครื่องซีลถุง,เครื่องซีลถุง,Weekly,8,"W01PK11,W01PK14,W01PK15,W01PK16,W01PK24,W01PK25,W01PK26"
ตู้นึ่งไก่,ตู้นึ่งไก่,Weekly,8,W01ST04
เครื่องเป่าซองPOUCH,เครื่องเป่าซองPOUCH,Weekly,10,W01DR05
เครื่องล้างกระป๋อง,เครื่องล้างกระป๋อง,Weekly,10,W01WS01
หม้อฆ่าเชื้อกระป๋อง,หม้อฆ่าเชื้อกระป๋อง,Weekly,10,W01ST02
หม้อฆ่าเชื้อเพ๊าท์,หม้อฆ่าเชื้อเพ๊าท์,Weekly,10,W01ST03
หม้อฆ่าเชื้อกล่อง,หม้อฆ่าเชื้อกล่อง,Weekly,10,W01ST05
เครื่องเอียงตะกร้า,เครื่องเอียงตะกร้า,Weekly,10,W01TT01
เครื่องเป่ากระป๋องแห้ง,เครื่องเป่ากระป๋องแห้ง,Weekly,10,W01DR01
HS R2,HS R2,Weekly,9,W01DR06
เครื่องยิงโค้ด,เครื่องยิงโค้ด,Weekly,8,"W01IJ01,W01IJ02,W01IJ03"
เครื่องปิดฉลาก,เครื่องปิดฉลาก,Weekly,10,W01LB01
สายพานรับซองเพ้าช์,สายพานรับซองเพ้าช์,,8,W01BC05
จานหมุน,จานหมุน,Weekly,11,"W01PK03,W01PK04"
HSS R2,HSS R2,Weekly,9,"W01PK21,W01PK22"
Hi-Mixer,Hi-Mixer,,8,"W01MI03,W01MI04,W01MI12,W01MI13"
HIMIXER3,HIMIXER3,,8,"W01MI05,W01MI11"
เครื่องตีเนื้อปลา,เครื่องตีเนื้อปลา,Weekly,8,W01MI01
เครื่องบด,เครื่องบด,Weekly,8,"W01DI01,W01DI02,W01DI04"
เครื่องบด 3,เครื่องบด 3,Weekly,8,W01DI03
เครื่องสับผสม,เครื่องสับผสม,Weekly,8,W01MI02
เครื่องกวนร้อน,เครื่องกวนร้อน,Weekly,8,W01SR01
เครื่องปั่นผสมโฮโม,เครื่องปั่นผสมโฮโม,Weekly,7,W01MI09
Ribbon Mixer,Ribbon Mixer,Weekly,8,W01MI06
Ribbon3,Ribbon3,Weekly,8,"W01MI10,W01MI14"
เครื่องจ่ายกระป๋องเปล่า,เครื่องจ่ายกระป๋องเปล่า,Weekly,9,W01DS01
สายพานพากระป๋องเปล่า,สายพานพากระป๋องเปล่า,Weekly,9,W01BC06
คอมพิวเตอร์,คอมพิวเตอร์,Quarterly,7,"W02IT01,W02IT02,W02IT03,W02IT04,W02IT05"
รถโฟคลิฟ,รถโฟคลิฟ,Weekly,8,W01CA02
รถโฟคลิฟน้ำมัน,รถโฟคลิฟน้ำมัน,Weekly,8,"W01CA01,W01CA03"
สายพาน ติดฉลาก,สายพาน ติดฉลาก,Weekly,8,W01BC08
สายพาน pack กระป๋อง,สายพาน pack กระป๋อง,Weekly,7,W01BC10
สายพานลำเลียงกล่อง,สายพานลำเลียงกล่อง,Weekly,8,W01BC09
